lookback,atr_threshold,total_return,total_trades,win_rate,final_equity
43,0.01,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
43,0.015,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
43,0.02,0.08017992669366758,3,0.3333333333333333,1.0801799266936676
29,0.0,0.05113101736621406,4,0.5,1.051131017366214
29,0.002,0.05113101736621406,4,0.5,1.051131017366214
29,0.005,0.05113101736621406,4,0.5,1.051131017366214
29,0.008,0.05113101736621406,4,0.5,1.051131017366214
29,0.01,0.05113101736621406,4,0.5,1.051131017366214
29,0.015,0.05113101736621406,4,0.5,1.051131017366214
29,0.02,0.05113101736621406,4,0.5,1.051131017366214
31,0.0,0.04359600640536976,4,0.5,1.0435960064053698
31,0.002,0.04359600640536976,4,0.5,1.0435960064053698
31,0.005,0.04359600640536976,4,0.5,1.0435960064053698
31,0.008,0.04359600640536976,4,0.5,1.0435960064053698
31,0.01,0.04359600640536976,4,0.5,1.0435960064053698
31,0.015,0.04359600640536976,4,0.5,1.0435960064053698
31,0.02,0.04359600640536976,4,0.5,1.0435960064053698
45,0.0,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
45,0.002,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
45,0.005,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
45,0.008,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
45,0.01,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
45,0.015,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
45,0.02,0.04280344930779223,3,0.3333333333333333,1.0428034493077922
5,0.05,0.0,0,0,1.0
7,0.05,0.0,0,0,1.0
9,0.05,0.0,0,0,1.0
11,0.05,0.0,0,0,1.0
13,0.05,0.0,0,0,1.0
15,0.05,0.0,0,0,1.0
17,0.05,0.0,0,0,1.0
19,0.05,0.0,0,0,1.0
21,0.05,0.0,0,0,1.0
23,0.05,0.0,0,0,1.0
25,0.05,0.0,0,0,1.0
27,0.05,0.0,0,0,1.0
29,0.05,0.0,0,0,1.0
31,0.05,0.0,0,0,1.0
33,0.05,0.0,0,0,1.0
35,0.05,0.0,0,0,1.0
37,0.05,0.0,0,0,1.0
39,0.05,0.0,0,0,1.0
41,0.05,0.0,0,0,1.0
43,0.05,0.0,0,0,1.0
45,0.05,0.0,0,0,1.0
47,0.05,0.0,0,0,1.0
49,0.05,0.0,0,0,1.0
51,0.05,0.0,0,0,1.0
53,0.05,0.0,0,0,1.0
55,0.05,0.0,0,0,1.0
57,0.05,0.0,0,0,1.0
59,0.05,0.0,0,0,1.0
47,0.0,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
47,0.002,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
47,0.005,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
47,0.008,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
47,0.01,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
47,0.015,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
47,0.02,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.0,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.002,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.005,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.008,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.01,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.015,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
49,0.02,-0.04662895744161555,3,0.3333333333333333,0.9533710425583845
51,0.0,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
51,0.002,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
51,0.005,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
51,0.008,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
51,0.01,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
51,0.015,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
51,0.02,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.0,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.002,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.005,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.008,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.01,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.015,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
53,0.02,-0.07727304331182439,3,0.3333333333333333,0.9227269566881756
33,0.0,-0.09962017230197295,4,0.0,0.900379827698027
