fast,slow,atr,total_return,total_trades,win_rate,final_equity
5,65,0.003,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.005,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.008,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.01,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.015,0.32720374119390594,6,0.6666666666666666,1.327203741193906
5,65,0.02,0.32720374119390594,6,0.6666666666666666,1.327203741193906
3,70,0.0,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.001,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.002,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.003,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.005,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.008,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.01,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.015,0.30620570384629553,6,0.5,1.3062057038462955
3,70,0.02,0.30620570384629553,6,0.5,1.3062057038462955
9,45,0.0,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.001,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.002,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.003,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.005,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.008,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.01,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.015,0.29712890892879273,5,0.6,1.2971289089287927
9,45,0.02,0.29712890892879273,5,0.6,1.2971289089287927
3,45,0.0,0.294696130371362,8,0.75,1.294696130371362
3,45,0.001,0.294696130371362,8,0.75,1.294696130371362
3,45,0.002,0.294696130371362,8,0.75,1.294696130371362
3,45,0.003,0.294696130371362,8,0.75,1.294696130371362
3,45,0.005,0.294696130371362,8,0.75,1.294696130371362
3,45,0.008,0.294696130371362,8,0.75,1.294696130371362
3,45,0.01,0.294696130371362,8,0.75,1.294696130371362
3,45,0.015,0.294696130371362,8,0.75,1.294696130371362
3,45,0.02,0.294696130371362,8,0.75,1.294696130371362
5,55,0.0,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.001,0.2920587252094029,5,0.6,1.292058725209403
